kubectl get hpa scaletestapp-hpa-rps -w 
NAME                   REFERENCE                 TARGETS   MINPODS   MAXPODS   REPLICAS   AGE
scaletestapp-hpa-rps   Deployment/scaletestapp   160m/10   1         10        1          2m23s
scaletestapp-hpa-rps   Deployment/scaletestapp   140m/10   1         10        1          2m36s
scaletestapp-hpa-rps   Deployment/scaletestapp   8960m/10   1         10        1          2m51s
scaletestapp-hpa-rps   Deployment/scaletestapp   22601m/10   1         10        1          3m7s
scaletestapp-hpa-rps   Deployment/scaletestapp   49203m/10   1         10        3          3m22s
scaletestapp-hpa-rps   Deployment/scaletestapp   20757m/10   1         10        5          3m37s
scaletestapp-hpa-rps   Deployment/scaletestapp   13177m/10   1         10        7          3m52s
scaletestapp-hpa-rps   Deployment/scaletestapp   9366m/10    1         10        7          4m7s
scaletestapp-hpa-rps   Deployment/scaletestapp   9440m/10    1         10        7          4m22s
scaletestapp-hpa-rps   Deployment/scaletestapp   9541m/10    1         10        7          4m37s
scaletestapp-hpa-rps   Deployment/scaletestapp   9637m/10    1         10        7          4m52s
scaletestapp-hpa-rps   Deployment/scaletestapp   9635m/10    1         10        7          5m7s
scaletestapp-hpa-rps   Deployment/scaletestapp   9743m/10    1         10        7          5m22s
scaletestapp-hpa-rps   Deployment/scaletestapp   9706m/10    1         10        7          5m37s
scaletestapp-hpa-rps   Deployment/scaletestapp   9577m/10    1         10        7          5m52s
scaletestapp-hpa-rps   Deployment/scaletestapp   9620m/10    1         10        7          6m7s
scaletestapp-hpa-rps   Deployment/scaletestapp   9552m/10    1         10        7          6m22s
scaletestapp-hpa-rps   Deployment/scaletestapp   9600m/10    1         10        7          6m37s
scaletestapp-hpa-rps   Deployment/scaletestapp   7986m/10    1         10        7          6m52s
scaletestapp-hpa-rps   Deployment/scaletestapp   6077m/10    1         10        7          7m7s
scaletestapp-hpa-rps   Deployment/scaletestapp   2291m/10    1         10        7          7m22s
scaletestapp-hpa-rps   Deployment/scaletestapp   365m/10     1         10        7          7m37s
scaletestapp-hpa-rps   Deployment/scaletestapp   157m/10     1         10        7          7m52s
scaletestapp-hpa-rps   Deployment/scaletestapp   151m/10     1         10        7          8m7s
scaletestapp-hpa-rps   Deployment/scaletestapp   142m/10     1         10        7          8m22s
scaletestapp-hpa-rps   Deployment/scaletestapp   148m/10     1         10        7          8m37s
scaletestapp-hpa-rps   Deployment/scaletestapp   157m/10     1         10        7          8m52s
scaletestapp-hpa-rps   Deployment/scaletestapp   151m/10     1         10        7          9m7s
scaletestapp-hpa-rps   Deployment/scaletestapp   142m/10     1         10        7          9m22s
scaletestapp-hpa-rps   Deployment/scaletestapp   148m/10     1         10        7          9m38s
scaletestapp-hpa-rps   Deployment/scaletestapp   157m/10     1         10        7          9m53s
scaletestapp-hpa-rps   Deployment/scaletestapp   151m/10     1         10        7          10m
scaletestapp-hpa-rps   Deployment/scaletestapp   142m/10     1         10        7          10m
scaletestapp-hpa-rps   Deployment/scaletestapp   148m/10     1         10        7          10m
scaletestapp-hpa-rps   Deployment/scaletestapp   157m/10     1         10        7          10m
scaletestapp-hpa-rps   Deployment/scaletestapp   151m/10     1         10        7          11m
scaletestapp-hpa-rps   Deployment/scaletestapp   142m/10     1         10        7          11m
scaletestapp-hpa-rps   Deployment/scaletestapp   148m/10     1         10        7          11m
scaletestapp-hpa-rps   Deployment/scaletestapp   153m/10     1         10        6          11m
scaletestapp-hpa-rps   Deployment/scaletestapp   148m/10     1         10        5          12m
scaletestapp-hpa-rps   Deployment/scaletestapp   150m/10     1         10        2          12m
scaletestapp-hpa-rps   Deployment/scaletestapp   140m/10     1         10        1          12m
